layer,rank,feature_idx,direction,correct_mean_act,incorrect_mean_act,correct_freq,incorrect_freq,freq_diff,mean_diff,effect_size,p_value
28,10,2611,uncertainty,2.6463572418784445,2.8600967809068205,0.9795686719636776,1.0,0.020431328036322416,0.21373953902837606,0.4247932396537012,1.1930766103931465e-07
28,11,9128,uncertainty,2.0238592678788843,2.6486269537831695,0.6004540295119183,0.8215962441314554,0.2211422146195371,0.6247676859042852,0.3682895071946078,4.178912460423311e-06
28,12,22459,uncertainty,1.6807539279019792,2.2365057860181925,0.5368898978433598,0.7511737089201878,0.21428381107682792,0.5557518581162133,0.34353182747203453,2.09050155759644e-06
28,13,5744,confidence,0.6000554010897841,0.26879925906938007,0.1963677639046538,0.107981220657277,-0.0883865432473768,-0.331256142020404,-0.31867758159588616,0.0007045848159874983
28,14,13351,uncertainty,1.8770340925989573,2.4164426444281992,0.5164585698070374,0.7230046948356808,0.20654612502864333,0.539408551829242,0.2953782286956857,0.0008603396323154102
28,15,28538,confidence,0.7883699154069015,0.4529708741416394,0.2599318955732123,0.18779342723004694,-0.07213846834316534,-0.3353990412652621,-0.28457920762592237,0.002303626048195784
28,16,18311,confidence,0.11499101444486863,0.01678123216673802,0.05902383654937571,0.009389671361502348,-0.049634165187873364,-0.09820978227813061,-0.28199855947336855,0.0025779724172951225
28,17,6726,confidence,0.6950176588928795,0.4028197946682782,0.2542565266742338,0.16901408450704225,-0.08524244216719157,-0.29219786422460126,-0.2726224712861228,0.0016588101870845021
28,18,28591,confidence,3.100929836815521,2.9372628250032524,0.9943246311010215,1.0,0.005675368898978461,-0.16366701181226873,-0.25793244304678015,0.003027481113849409
28,19,28733,uncertainty,0.7819576662596184,1.0608927190583637,0.35754824063564133,0.4694835680751174,0.11193532743947604,0.2789350527987453,0.25098693795780413,0.0005016627015977317
28,20,5096,uncertainty,1.5491274733278186,1.9899241985849372,0.40635641316685583,0.6807511737089202,0.2743947605420644,0.44079672525711855,0.24594438429287208,8.851158784409884e-05
28,21,6681,confidence,0.2172217519275176,0.09341080591712199,0.11464245175936436,0.051643192488262914,-0.06299925927110145,-0.12381094601039562,-0.24105022858252914,0.005026702853382934
28,22,3243,confidence,4.25513380014937,4.170777634275911,1.0,1.0,0.0,-0.08435616587345862,-0.22132716686231083,0.005287029314903302
28,23,14105,confidence,0.0417712349085207,0.0,0.02043132803632236,0.0,-0.02043132803632236,-0.0417712349085207,-0.201814195651609,0.03556337419772712
28,24,6664,confidence,1.8748916388911097,1.6948784796844625,0.8354143019296254,0.7417840375586855,-0.09363026437093991,-0.18001315920664718,-0.18565839576260026,0.3122779797661357
28,25,21573,uncertainty,0.415113838522713,0.5692874254755012,0.21906923950056753,0.29577464788732394,0.07670540838675641,0.15417358695278816,0.184191061076271,0.009664120407102163
28,26,14970,confidence,2.3154020278326635,2.2077851614481965,0.9557321225879682,0.9436619718309859,-0.012070150756982367,-0.10761686638446699,-0.17532820338310154,0.0020275842522934208
28,27,11501,confidence,1.260103529211341,1.0870299859785697,0.6106696935300795,0.5305164319248826,-0.08015326160519687,-0.17307354323277124,-0.16734506249837444,0.023761554075052593
28,28,30591,confidence,0.2504923349070901,0.14914173587387156,0.12145289443813848,0.07511737089201878,-0.046335523546119695,-0.10135059903321855,-0.1663612052077778,0.04923841783881188
28,29,13621,confidence,0.026578479538440163,0.0,0.01362088535754824,0.0,-0.01362088535754824,-0.026578479538440163,-0.16568532323115606,0.08703731999080161
28,30,7518,confidence,0.023006183470553897,0.0,0.012485811577752554,0.0,-0.012485811577752554,-0.023006183470553897,-0.1587839125954642,0.10151029169646691
28,31,6977,uncertainty,2.4595795692569418,2.551257853776636,0.9772985244040863,0.9812206572769953,0.00392213287290899,0.0916782845196944,0.15627770525672333,0.030718628932428674
28,32,20880,confidence,0.023135083216949705,0.0,0.011350737797956867,0.0,-0.011350737797956867,-0.023135083216949705,-0.14867496867777796,0.11862180657440724
28,33,23027,uncertainty,0.5089425021755032,0.6565297383097976,0.23269012485811577,0.2863849765258216,0.05369485166770585,0.14758723613429436,0.14578720464616343,0.07401237611287023
28,34,13440,confidence,1.06744576988913,0.8660304831786895,0.27809307604994327,0.30985915492957744,0.031766078879634174,-0.2014152867104405,-0.12689614064382496,0.5631584332471959
28,35,20524,uncertainty,0.015890638619898124,0.044609049116501785,0.007945516458569807,0.023474178403755867,0.01552866194518606,0.02871841049660366,0.11962733822475548,0.05177695442409868
28,36,5694,uncertainty,0.014799875379555884,0.0403241601908151,0.007945516458569807,0.018779342723004695,0.010833826264434888,0.025524284811259214,0.10712281280927592,0.15134371029181165
28,37,15561,uncertainty,0.04555144889130089,0.07806687455781748,0.024971623155505107,0.04225352112676056,0.017281897971255455,0.03251542566651659,0.09801483507198874,0.17135491563561311
28,38,10017,confidence,0.023815478017462775,0.008231442858915373,0.012485811577752554,0.004694835680751174,-0.00779097589700138,-0.015584035158547402,-0.09027599734620863,0.3248464012805927
28,39,3576,uncertainty,0.012020248560304675,0.026364852564995277,0.00681044267877412,0.014084507042253521,0.007274064363479401,0.014344604004690602,0.0767107289728229,0.2893227441155616
28,40,3368,confidence,0.020942384620259488,0.008803927282772154,0.011350737797956867,0.004694835680751174,-0.006655902117205693,-0.012138457337487333,-0.07337042392757906,0.384392852920208
28,41,8586,confidence,0.45132357497761927,0.39140231844405055,0.21566401816118047,0.20187793427230047,-0.013786083888880002,-0.05992125653356872,-0.07225279723666478,0.3936518631979352
28,42,31247,confidence,0.1435002471477842,0.10989720664673568,0.0771850170261067,0.06103286384976526,-0.016152153176341437,-0.03360304050104852,-0.07216118950379345,0.3870122144529903
28,43,2324,confidence,0.10082073244144643,0.0724920498933031,0.0510783200908059,0.03755868544600939,-0.01351963464479651,-0.02832868254814333,-0.07009515079916012,0.4094035154885265
28,44,23520,confidence,0.0411131307567289,0.026062586497812762,0.021566401816118047,0.014084507042253521,-0.007481894773864526,-0.015050544258916138,-0.06024967871474434,0.4828894490172363
28,45,19178,confidence,0.1388433692674496,0.12033161534949648,0.06923950056753689,0.06572769953051644,-0.003511801037020451,-0.018511753917953136,-0.03824961429568123,0.7687270610270683
28,46,27665,uncertainty,0.0649659478028435,0.075908684954397,0.036322360953461974,0.04225352112676056,0.005931160173298589,0.0109427371515535,0.03140529483822378,0.6685252079953972
